order_id,order_date,customer_id,city,age,gender,acquisition_channel,category,quantity,item_price,revenue,order_value,discount_applied,payment_method
1391,2026-04-01,178,Chennai,64,M,Referral,Toys,2,633.18,1266.36,2252.84,0,Wallet
1391,2026-04-01,178,Chennai,64,M,Referral,Grocery,3,884.87,2654.61,2252.84,0,Wallet
1391,2026-04-01,178,Chennai,64,M,Referral,Toys,3,869.7,2609.1000000000004,2252.84,0,Wallet
1678,2026-04-01,213,Patna,59,F,Social Media,Books,2,288.49,576.98,876.27,0,Card
1678,2026-04-01,213,Patna,59,F,Social Media,Books,1,238.05,238.05,876.27,0,Card
1678,2026-04-01,213,Patna,59,F,Social Media,Grocery,2,426.74,853.48,876.27,0,Card
1799,2026-04-01,228,Hyderabad,64,F,Referral,Beauty,2,1161.39,2322.78,4203.31,0,COD
1799,2026-04-01,228,Hyderabad,64,F,Referral,Grocery,1,933.17,933.17,4203.31,0,COD
1799,2026-04-01,228,Hyderabad,64,F,Referral,Toys,3,1312.77,3938.31,4203.31,0,COD
1799,2026-04-01,228,Hyderabad,64,F,Referral,Sports,3,594.73,1784.19,4203.31,0,COD
2799,2026-04-01,380,Jaipur,43,M,Organic,Sports,2,1388.03,2776.06,3537.31,0,COD
2799,2026-04-01,380,Jaipur,43,M,Organic,Books,3,2382.71,7148.13,3537.31,0,COD
4855,2026-04-01,659,Ahmedabad,34,F,Organic,Electronics,2,918.83,1837.66,3547.88,0,Wallet
4855,2026-04-01,659,Ahmedabad,34,F,Organic,Grocery,2,728.55,1457.1,3547.88,0,Wallet
4855,2026-04-01,659,Ahmedabad,34,F,Organic,Toys,3,940.72,2822.16,3547.88,0,Wallet
4855,2026-04-01,659,Ahmedabad,34,F,Organic,Electronics,3,861.58,2584.7400000000002,3547.88,0,Wallet
4935,2026-04-01,672,Bangalore,25,F,Organic,Electronics,2,4690.22,9380.44,4557.47,0,Card
5143,2026-04-01,692,Pune,63,M,Organic,Toys,3,1125.39,3376.17,2279.11,0,Card
5143,2026-04-01,692,Pune,63,M,Organic,Grocery,1,930.92,930.92,2279.11,0,Card
5841,2026-04-01,793,Patna,63,F,Paid Ads,Electronics,1,306.02,306.02,575.24,1,UPI
5841,2026-04-01,793,Patna,63,F,Paid Ads,Home & Kitchen,2,329.27,658.54,575.24,1,UPI
6858,2026-04-01,950,Jaipur,51,F,Organic,Toys,3,647.87,1943.6100000000001,1729.0,1,Wallet
6858,2026-04-01,950,Jaipur,51,F,Organic,Beauty,1,459.59,459.59,1729.0,1,Wallet
6858,2026-04-01,950,Jaipur,51,F,Organic,Fashion,3,627.48,1882.44,1729.0,1,Wallet
8995,2026-04-01,1251,Kolkata,57,F,Referral,Grocery,3,621.25,1863.75,2127.0,0,Card
8995,2026-04-01,1251,Kolkata,57,F,Referral,Home & Kitchen,2,548.11,1096.22,2127.0,0,Card
8995,2026-04-01,1251,Kolkata,57,F,Referral,Fashion,2,425.17,850.34,2127.0,0,Card
8995,2026-04-01,1251,Kolkata,57,F,Referral,Fashion,3,490.99,1472.97,2127.0,0,Card
9028,2026-04-01,1256,Ahmedabad,64,M,Referral,Beauty,2,994.96,1989.92,1590.09,0,Wallet
9028,2026-04-01,1256,Ahmedabad,64,M,Referral,Electronics,2,536.47,1072.94,1590.09,0,Wallet
10000,2026-04-01,1406,Hyderabad,38,F,Referral,Books,1,952.2,952.2,1469.33,0,Card
10000,2026-04-01,1406,Hyderabad,38,F,Referral,Home & Kitchen,2,487.42,974.84,1469.33,0,Card
10448,2026-04-01,1479,Chennai,64,M,Organic,Beauty,3,803.63,2410.89,1819.4,1,UPI
10448,2026-04-01,1479,Chennai,64,M,Organic,Grocery,2,1140.54,2281.08,1819.4,1,UPI
10879,2026-04-01,1542,Kolkata,22,M,Referral,Beauty,3,544.29,1632.87,2468.64,0,COD
10879,2026-04-01,1542,Kolkata,22,M,Referral,Beauty,1,664.35,664.35,2468.64,0,COD
10879,2026-04-01,1542,Kolkata,22,M,Referral,Sports,2,583.63,1167.26,2468.64,0,COD
10879,2026-04-01,1542,Kolkata,22,M,Referral,Electronics,1,595.28,595.28,2468.64,0,COD
11559,2026-04-01,1646,Ahmedabad,30,M,Organic,Books,2,1125.21,2250.42,3685.81,0,COD
11559,2026-04-01,1646,Ahmedabad,30,M,Organic,Books,2,951.11,1902.22,3685.81,0,COD
11559,2026-04-01,1646,Ahmedabad,30,M,Organic,Electronics,3,1520.13,4560.39,3685.81,0,COD
12240,2026-04-01,1761,Ahmedabad,58,F,Referral,Sports,1,1497.64,1497.64,3045.73,0,Card
12240,2026-04-01,1761,Ahmedabad,58,F,Referral,Toys,3,1700.48,5101.4400000000005,3045.73,0,Card
13375,2026-04-01,1902,Pune,37,M,Paid Ads,Home & Kitchen,2,1163.16,2326.32,2140.35,0,Wallet
13375,2026-04-01,1902,Pune,37,M,Paid Ads,Toys,1,925.71,925.71,2140.35,0,Wallet
14923,2026-04-01,2098,Chennai,63,F,Paid Ads,Toys,3,2189.23,6567.6900000000005,3615.71,0,UPI
14923,2026-04-01,2098,Chennai,63,F,Paid Ads,Sports,1,1492.32,1492.32,3615.71,0,UPI
15569,2026-04-01,2184,Chennai,28,F,Email,Sports,2,381.32,762.64,730.88,1,Card
15569,2026-04-01,2184,Chennai,28,F,Email,Books,2,364.15,728.3,730.88,1,Card
16702,2026-04-01,2359,Chennai,46,F,Referral,Fashion,1,748.72,748.72,1268.21,0,UPI
16702,2026-04-01,2359,Chennai,46,F,Referral,Grocery,2,652.06,1304.12,1268.21,0,UPI
17482,2026-04-01,2441,Ahmedabad,60,M,Paid Ads,Toys,3,73.63,220.89,278.13,0,Card
17482,2026-04-01,2441,Ahmedabad,60,M,Paid Ads,Toys,3,82.97,248.91,278.13,0,Card
17482,2026-04-01,2441,Ahmedabad,60,M,Paid Ads,Beauty,2,50.0,100.0,278.13,0,Card
17482,2026-04-01,2441,Ahmedabad,60,M,Paid Ads,Grocery,2,61.98,123.96,278.13,0,Card
20175,2026-04-01,2832,Jaipur,35,M,Email,Toys,1,186.05,186.05,907.29,0,UPI
20175,2026-04-01,2832,Jaipur,35,M,Email,Electronics,1,299.69,299.69,907.29,0,UPI
20175,2026-04-01,2832,Jaipur,35,M,Email,Toys,3,199.74,599.22,907.29,0,UPI
20175,2026-04-01,2832,Jaipur,35,M,Email,Home & Kitchen,3,257.27,771.81,907.29,0,UPI
20579,2026-04-01,2904,Mumbai,36,M,Referral,Grocery,3,3439.3,10317.900000000001,3582.22,0,UPI
22079,2026-04-01,3085,Mumbai,31,M,Paid Ads,Electronics,1,587.48,587.48,1584.8,0,UPI
22079,2026-04-01,3085,Mumbai,31,M,Paid Ads,Electronics,1,371.31,371.31,1584.8,0,UPI
22079,2026-04-01,3085,Mumbai,31,M,Paid Ads,Beauty,3,780.36,2341.08,1584.8,0,UPI
22392,2026-04-01,3136,Chennai,24,F,Paid Ads,Toys,2,413.21,826.42,830.36,0,UPI
22392,2026-04-01,3136,Chennai,24,F,Paid Ads,Toys,1,463.91,463.91,830.36,0,UPI
22518,2026-04-01,3154,Jaipur,52,M,Email,Sports,3,1503.45,4510.35,1704.27,0,Wallet
22683,2026-04-01,3180,Bangalore,21,F,Paid Ads,Fashion,2,603.95,1207.9,611.19,0,UPI
22842,2026-04-01,3202,Pune,34,F,Paid Ads,Beauty,1,1990.69,1990.69,2365.06,0,COD
23409,2026-04-01,3296,Chennai,30,M,Referral,Grocery,2,570.95,1141.9,2870.77,0,UPI
23409,2026-04-01,3296,Chennai,30,M,Referral,Toys,3,908.33,2724.9900000000002,2870.77,0,UPI
23409,2026-04-01,3296,Chennai,30,M,Referral,Electronics,3,599.42,1798.2599999999998,2870.77,0,UPI
23409,2026-04-01,3296,Chennai,30,M,Referral,Grocery,2,917.4,1834.8,2870.77,0,UPI
24514,2026-04-01,3481,Delhi,46,M,Social Media,Toys,3,1512.51,4537.53,2148.31,0,Wallet
24629,2026-04-01,3496,Jaipur,44,F,Social Media,Toys,3,2891.39,8674.17,2997.54,0,UPI
25223,2026-04-01,3562,Pune,22,F,Email,Books,3,965.82,2897.46,2630.42,0,Wallet
25223,2026-04-01,3562,Pune,22,F,Email,Electronics,3,890.57,2671.71,2630.42,0,Wallet
25223,2026-04-01,3562,Pune,22,F,Email,Grocery,1,891.78,891.78,2630.42,0,Wallet
27303,2026-04-01,3871,Pune,58,F,Paid Ads,Fashion,2,283.28,566.56,1142.66,0,Card
27303,2026-04-01,3871,Pune,58,F,Paid Ads,Home & Kitchen,1,515.68,515.68,1142.66,0,Card
27303,2026-04-01,3871,Pune,58,F,Paid Ads,Sports,1,380.9,380.9,1142.66,0,Card
27409,2026-04-01,3891,Delhi,43,F,Paid Ads,Fashion,2,684.92,1369.84,1977.57,1,Card
27409,2026-04-01,3891,Delhi,43,F,Paid Ads,Grocery,3,520.62,1561.8600000000001,1977.57,1,Card
27409,2026-04-01,3891,Delhi,43,F,Paid Ads,Fashion,3,1000.82,3002.46,1977.57,1,Card
31026,2026-04-01,4431,Bangalore,26,M,Paid Ads,Grocery,2,2798.22,5596.44,2256.36,0,UPI
31359,2026-04-01,4473,Chennai,57,F,Social Media,Toys,2,1030.77,2061.54,3641.18,1,Card
31359,2026-04-01,4473,Chennai,57,F,Social Media,Home & Kitchen,3,1221.26,3663.7799999999997,3641.18,1,Card
31359,2026-04-01,4473,Chennai,57,F,Social Media,Home & Kitchen,3,1146.16,3438.4800000000005,3641.18,1,Card
33992,2026-04-01,4817,Mumbai,45,F,Email,Electronics,2,794.35,1588.7,2185.6,0,Card
33992,2026-04-01,4817,Mumbai,45,F,Email,Grocery,1,640.34,640.34,2185.6,0,Card
33992,2026-04-01,4817,Mumbai,45,F,Email,Fashion,2,541.8,1083.6,2185.6,0,Card
34417,2026-04-01,4890,Delhi,22,F,Referral,Toys,1,1179.55,1179.55,2202.09,1,COD
34417,2026-04-01,4890,Delhi,22,F,Referral,Fashion,1,840.65,840.65,2202.09,1,COD
301,2026-04-02,30,Delhi,56,F,Referral,Grocery,2,620.51,1241.02,3320.48,0,UPI
301,2026-04-02,30,Delhi,56,F,Referral,Grocery,2,687.62,1375.24,3320.48,0,UPI
301,2026-04-02,30,Delhi,56,F,Referral,Toys,2,1061.36,2122.72,3320.48,0,UPI
301,2026-04-02,30,Delhi,56,F,Referral,Electronics,2,1107.06,2214.12,3320.48,0,UPI
652,2026-04-02,94,Delhi,49,M,Social Media,Electronics,1,341.42,341.42,1551.88,0,Card
652,2026-04-02,94,Delhi,49,M,Social Media,Sports,1,356.18,356.18,1551.88,0,Card
652,2026-04-02,94,Delhi,49,M,Social Media,Fashion,2,482.64,965.28,1551.88,0,Card
652,2026-04-02,94,Delhi,49,M,Social Media,Grocery,3,377.03,1131.09,1551.88,0,Card
665,2026-04-02,100,Chennai,56,F,Organic,Electronics,1,166.55,166.55,593.62,1,Card
665,2026-04-02,100,Chennai,56,F,Organic,Toys,1,175.29,175.29,593.62,1,Card
665,2026-04-02,100,Chennai,56,F,Organic,Home & Kitchen,2,141.63,283.26,593.62,1,Card
665,2026-04-02,100,Chennai,56,F,Organic,Fashion,3,81.32,243.95999999999998,593.62,1,Card
809,2026-04-02,115,Patna,36,M,Paid Ads,Sports,1,563.24,563.24,1912.64,0,Card
809,2026-04-02,115,Patna,36,M,Paid Ads,Sports,3,354.83,1064.49,1912.64,0,Card
809,2026-04-02,115,Patna,36,M,Paid Ads,Grocery,1,376.31,376.31,1912.64,0,Card
809,2026-04-02,115,Patna,36,M,Paid Ads,Toys,1,605.26,605.26,1912.64,0,Card
2098,2026-04-02,266,Kolkata,32,M,Paid Ads,Sports,1,1158.4,1158.4,950.16,0,Card
2892,2026-04-02,393,Kolkata,59,M,Social Media,Electronics,3,815.94,2447.82,2803.83,0,UPI
2892,2026-04-02,393,Kolkata,59,M,Social Media,Fashion,1,498.62,498.62,2803.83,0,UPI
2892,2026-04-02,393,Kolkata,59,M,Social Media,Fashion,3,677.75,2033.25,2803.83,0,UPI
2892,2026-04-02,393,Kolkata,59,M,Social Media,Sports,3,966.88,2900.64,2803.83,0,UPI
3127,2026-04-02,419,Kolkata,51,F,Social Media,Beauty,2,668.7,1337.4,2091.48,0,UPI
3127,2026-04-02,419,Kolkata,51,F,Social Media,Fashion,3,743.92,2231.7599999999998,2091.48,0,UPI
3127,2026-04-02,419,Kolkata,51,F,Social Media,Home & Kitchen,3,585.58,1756.7400000000002,2091.48,0,UPI
3558,2026-04-02,474,Delhi,35,F,Paid Ads,Books,3,979.09,2937.27,3427.33,0,UPI
3558,2026-04-02,474,Delhi,35,F,Paid Ads,Sports,2,1453.37,2906.74,3427.33,0,UPI
3558,2026-04-02,474,Delhi,35,F,Paid Ads,Books,1,928.01,928.01,3427.33,0,UPI
4494,2026-04-02,619,Pune,44,M,Organic,Grocery,2,4084.34,8168.68,4057.37,0,Card
5716,2026-04-02,766,Kolkata,23,M,Organic,Electronics,3,163.66,490.98,869.81,0,UPI
5716,2026-04-02,766,Kolkata,23,M,Organic,Beauty,2,297.73,595.46,869.81,0,UPI
5716,2026-04-02,766,Kolkata,23,M,Organic,Beauty,3,225.4,676.2,869.81,0,UPI
5716,2026-04-02,766,Kolkata,23,M,Organic,Home & Kitchen,1,163.84,163.84,869.81,0,UPI
6107,2026-04-02,830,Ahmedabad,55,F,Organic,Grocery,3,688.26,2064.7799999999997,1461.35,1,UPI
6107,2026-04-02,830,Ahmedabad,55,F,Organic,Electronics,1,836.68,836.68,1461.35,1,UPI
